2006/08;2
2006/09;1
2006/10;1
2006/11;1
2006/12;1
2007/01;3
2007/02;9
2007/03;12
2007/04;10
2007/05;9
2007/06;6
2007/07;10
2007/08;22
2007/09;17
2007/10;25
2007/11;7
2007/12;10
2008/01;14
2008/02;11
2008/03;8
2008/04;11
2008/05;30
2008/06;26
2008/07;32
2008/08;35
2008/09;19
2008/10;11
2008/11;8
2008/12;20
2009/01;13
2009/02;12
2009/03;22
2009/04;13
2009/05;17
2009/06;14
2009/07;17
2009/08;19
2009/09;44
2009/10;26
2009/11;32
2009/12;31
2010/01;31
2010/02;31
2010/03;111
2010/04;28
2010/05;11
2010/06;34
2010/07;44
2010/08;19
2010/09;14
2010/10;20
2010/11;25
2010/12;10
2011/01;11
2011/02;11
2011/03;23
2011/04;23
2011/05;15
2011/06;8
2011/07;7
2011/08;8
2011/09;5
2011/10;10
2011/11;9
2011/12;12
2012/01;7
2012/02;15
2012/03;14
2012/04;6
2012/05;10
2012/06;2
2012/07;8
2012/08;6
2012/09;10
2012/10;5
2012/11;6
2012/12;5
2013/01;5
2013/02;14
2013/03;3
2013/04;4
2013/05;1
2013/06;2
2013/07;6
2013/08;6
2013/09;1
2013/10;17
2013/12;2
2014/01;1
2014/02;5
2014/03;4
2014/04;1
2014/05;2
2014/06;4
2014/07;1
2014/09;3
2014/10;3
2014/11;3
2014/12;1
2015/01;4
2015/02;1
2015/03;1
2015/04;7
2015/05;1
2015/06;4
2015/07;4
2015/09;2
2015/10;2
2015/11;3
2016/01;1
2016/02;1
2016/03;2
2016/04;1
2016/05;1
2016/06;1
2016/08;5
2016/10;1
2016/11;2
2016/12;1
2017/02;1
2017/03;1
2017/05;1
2017/07;2
2018/01;1
2018/05;1
2018/07;1
2018/08;3
2018/09;1
2018/11;3
2019/01;5
2019/02;4
2019/03;3
2019/04;5
2019/07;1
2019/12;1
2020/04;2
